stop_id,stop_name,stop_desc,platform_code,ja-Hrkt,en,zh-Hans,zh-Hant,ko,Flat,Comm Pass,Ward
177300,堀川寺ノ内,堀川寺ノ内(南行),A,ほりかわてらのうち,Horikawa Teranouchi,堀川寺之内,堀川寺之內,호리카와테라노우치,0,1,上
177400,堀川寺ノ内,堀川寺ノ内(北行),B,ほりかわてらのうち,Horikawa Teranouchi,堀川寺之内,堀川寺之內,호리카와테라노우치,0,1,上
178300,堀川上立売,堀川上立売(南行),A,ほりかわかみだちうり,Horikawa Kamidachiuri,堀川上立卖,堀川上立賣,호리카와카미다치우리,0,1,上
178400,堀川上立売,堀川上立売(北行),B,ほりかわかみだちうり,Horikawa Kamidachiuri,堀川上立卖,堀川上立賣,호리카와카미다치우리,0,1,上
179100,堀川今出川,堀川今出川(A),A,ほりかわいまでがわ,Horikawa Imadegawa,堀川今出川,堀川今出川,호리카와이마데가와,0,1,上
179200,堀川今出川,堀川今出川(B),B,ほりかわいまでがわ,Horikawa Imadegawa,堀川今出川,堀川今出川,호리카와이마데가와,0,1,上
179300,堀川今出川,堀川今出川(C),C,ほりかわいまでがわ,Horikawa Imadegawa,堀川今出川,堀川今出川,호리카와이마데가와,0,1,上
179410,堀川今出川,堀川今出川(E),E,ほりかわいまでがわ,Horikawa Imadegawa,堀川今出川,堀川今出川,호리카와이마데가와,0,1,上
180300,一条戻橋・晴明神社前,一条戻橋・晴明神社前(南行),A,いちじょうもどりばしせいめいじんじゃまえ,Ichijo Modoribashi Seimei Jinja-mae (Seimei-jinja Shrine),一条戻桥・晴明神社前,一条戻橋・晴明神社前,이치조모도리바시・세이메이진자마에,0,1,上
180400,一条戻橋・晴明神社前,一条戻橋・晴明神社前(北行),B,いちじょうもどりばしせいめいじんじゃまえ,Ichijo Modoribashi Seimei Jinja-mae (Seimei-jinja Shrine),一条戻桥・晴明神社前,一条戻橋・晴明神社前,이치조모도리바시・세이메이진자마에,0,1,上
181300,堀川中立売,堀川中立売(南行),A,ほりかわなかだちうり,Horikawa Nakadachiuri,堀川中立卖,堀川中立賣,호리카와나카다치우리,0,1,上
181400,堀川中立売,堀川中立売(北行),B,ほりかわなかだちうり,Horikawa Nakadachiuri,堀川中立卖,堀川中立賣,호리카와나카다치우리,0,1,上
182300,堀川下長者町,堀川下長者町(南行),,ほりかわしもちょうじゃまち,Horikawa Shimochojamachi,堀川下长者町,堀川下長者町,호리카와시모초자마치,0,1,上
182400,堀川下長者町,堀川下長者町(北行),,ほりかわしもちょうじゃまち,Horikawa Shimochojamachi,堀川下长者町,堀川下長者町,호리카와시모초자마치,0,1,上
183300,堀川下立売,堀川下立売(A),,ほりかわしもだちうり,Horikawa Shimodachiuri,堀川下立卖,堀川下立賣,호리카와시모다치우리,0,1,上
183400,堀川下立売,堀川下立売(B),,ほりかわしもだちうり,Horikawa Shimodachiuri,堀川下立卖,堀川下立賣,호리카와시모다치우리,0,1,上
184100,堀川丸太町,堀川丸太町(C),C,ほりかわまるたまち,Horikawa Marutamachi,堀川丸太町,堀川丸太町,호리카와마루타마치,0,1,上
184200,堀川丸太町,堀川丸太町(B),B,ほりかわまるたまち,Horikawa Marutamachi,堀川丸太町,堀川丸太町,호리카와마루타마치,0,1,上
184300,堀川丸太町,堀川丸太町(A),A,ほりかわまるたまち,Horikawa Marutamachi,堀川丸太町,堀川丸太町,호리카와마루타마치,0,1,上
184400,堀川丸太町,堀川丸太町(D),D,ほりかわまるたまち,Horikawa Marutamachi,堀川丸太町,堀川丸太町,호리카와마루타마치,0,1,上
185300,二条城前,二条城前(南行),A,にじょうじょうまえ,Nijojo-mae (Nijo-jo Castle),二条城前,二条城前,니조조마에,0,1,中
185400,二条城前,二条城前(北行),B,にじょうじょうまえ,Nijojo-mae (Nijo-jo Castle),二条城前,二条城前,니조조마에,0,1,中
186100,堀川御池,堀川御池(A),A,ほりかわおいけ,Horikawa Oike,堀川御池,堀川御池,호리카와오이케,0,1,中
186200,堀川御池,堀川御池(B),B,ほりかわおいけ,Horikawa Oike,堀川御池,堀川御池,호리카와오이케,0,1,中
186300,堀川御池,堀川御池(C),C,ほりかわおいけ,Horikawa Oike,堀川御池,堀川御池,호리카와오이케,0,1,中
186400,堀川御池,堀川御池(D),D,ほりかわおいけ,Horikawa Oike,堀川御池,堀川御池,호리카와오이케,0,1,中
187300,堀川三条,堀川三条(南行),A,ほりかわさんじょう,Horikawa Sanjo,堀川三条,堀川三条,호리카와산조,0,1,中
187400,堀川三条,堀川三条(北行),B,ほりかわさんじょう,Horikawa Sanjo,堀川三条,堀川三条,호리카와산조,0,1,中
188310,堀川蛸薬師,堀川蛸薬師(B),B,ほりかわたこやくし,Horikawa Takoyakushi,堀川蛸药师,堀川蛸藥師,호리카와타코야쿠시,0,1,中
188320,堀川蛸薬師,堀川蛸薬師(A),A,ほりかわたこやくし,Horikawa Takoyakushi,堀川蛸药师,堀川蛸藥師,호리카와타코야쿠시,0,1,中
188400,堀川蛸薬師,堀川蛸薬師(C),C,ほりかわたこやくし,Horikawa Takoyakushi,堀川蛸药师,堀川蛸藥師,호리카와타코야쿠시,0,1,中
189300,堀川松原,堀川松原(南行),,ほりかわまつばら,Horikawa Matsubara,堀川松原,堀川松原,호리카와마쓰바라,0,1,下
189400,堀川松原,堀川松原(北行),,ほりかわまつばら,Horikawa Matsubara,堀川松原,堀川松原,호리카와마쓰바라,0,1,下
190100,堀川五条,堀川五条(東行),,ほりかわごじょう,Horikawa Gojo,堀川五条,堀川五条,호리카와고조,0,1,下
190200,堀川五条,堀川五条(西行),,ほりかわごじょう,Horikawa Gojo,堀川五条,堀川五条,호리카와고조,0,1,下
190300,堀川五条,堀川五条(南行),,ほりかわごじょう,Horikawa Gojo,堀川五条,堀川五条,호리카와고조,0,1,下
190400,堀川五条,堀川五条(北行),,ほりかわごじょう,Horikawa Gojo,堀川五条,堀川五条,호리카와고조,0,1,下
